,City,Country,Max Temp (F),Current Description,Lat,Lng,Hotel Name
211,Sorong,ID,78.28,overcast clouds,-0.88,131.25,The Waigo Hotel
212,Miri,MY,77.0,few clouds,4.41,114.01,"Mega Hotel, Miri"
213,Majene,ID,76.1,scattered clouds,-3.54,118.97,Kost Putri RABBANI
214,Bambous Virieux,MU,73.0,scattered clouds,-20.34,57.76,Casa Tia Villa
216,Mersing,MY,77.0,overcast clouds,2.43,103.84,Timotel Hotel
221,Puerto Colombia,CO,73.4,thunderstorm with rain,10.99,-74.95,Hotel El Emigrante
222,Saint Anthony,US,87.01,broken clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
223,Hambantota,LK,80.6,broken clouds,6.12,81.12,Bungalow 63
224,Maceio,BR,73.4,moderate rain,-9.67,-35.74,Mercure Maceio Pajucara Hotel
228,Caravelas,BR,74.23,scattered clouds,-17.71,-39.25,Pousada dos Navegantes
233,Morehead,US,80.6,overcast clouds,37.27,-87.18,CCI Express Inn
235,Itarema,BR,80.53,clear sky,-2.92,-39.92,Windvillage
237,Erzin,TR,75.99,clear sky,36.96,36.2,Artemis Otel
241,Rapar,IN,87.8,broken clouds,23.57,70.63,Dharamshi Bapa’s Home
243,Lekoni,GA,85.75,overcast clouds,-1.58,14.26,Rendez-vous Des ChasseursD
246,Sao Joao Da Barra,BR,73.4,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
251,Makakilo City,US,82.4,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
252,Alta Floresta,BR,88.38,few clouds,-9.88,-56.09,Floresta Amazonica Hotel
253,Dicabisagan,PH,77.99,overcast clouds,17.08,122.42,
255,Am Timan,TD,86.59,clear sky,11.03,20.28,
258,Ishigaki,JP,83.86,overcast clouds,24.34,124.16,Hotel Peace Land Ishigakijima
259,Qingdao,CN,73.4,light rain,36.1,120.37,Holiday Inn Qingdao City Centre
262,Georgetown,MY,82.4,scattered clouds,5.41,100.34,Cititel Penang
267,San Cristobal,VE,87.8,scattered clouds,7.77,-72.22,Pirineos
270,Misratah,LY,76.78,clear sky,32.38,15.09,فندق الماسة
274,Sinnar,SD,89.94,broken clouds,13.57,33.57,فندق الرشيد
275,Atuona,PF,80.24,clear sky,-9.8,-139.03,Villa Enata
278,Dingle,PH,76.08,overcast clouds,11.0,122.67,Camp Pasica
283,Howard Springs,AU,71.6,broken clouds,-12.5,131.05,buffalo beach hostel
285,Ilinskiy,RU,70.0,few clouds,55.62,38.12,"КРЕАТОВО, инновационный центр"
287,Guerrero Negro,MX,76.42,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
297,Marabba,SD,85.39,overcast clouds,12.35,32.18,
301,Bosobolo,CD,71.89,overcast clouds,4.18,19.9,
304,Conceicao Da Barra,BR,73.69,clear sky,-18.59,-39.73,Cricaré Praia Hotel
312,Kongolo,CD,80.35,scattered clouds,-5.38,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
314,Jalu,LY,81.25,clear sky,29.03,21.55,Jalu Hotel
316,Bubaque,GW,82.02,broken clouds,11.28,-15.83,Casa Dora
318,Martvili,GE,71.6,scattered clouds,42.41,42.38,Villa Vakhano
319,Soyo,AO,73.09,clear sky,-6.13,12.37,Hotel Mpampa
320,Kihei,US,84.2,few clouds,20.79,-156.47,Maui Sunset
324,Natal,BR,82.4,few clouds,-5.79,-35.21,Villa Park Hotel | Natal
326,Saint-Georges,GD,87.8,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
329,Muroto,JP,73.29,clear sky,33.28,134.15,Oota Ryokan
330,Kosai,JP,71.01,clear sky,34.71,137.53,Hotel Route Inn Hamanako
333,Banda Aceh,ID,79.2,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
335,Kimbe,PG,75.27,scattered clouds,-5.55,150.14,Kimbe Bay Hotel
340,Grand Gaube,MU,73.0,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
341,Kutum,SD,85.51,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
342,Puerto Baquerizo Moreno,EC,77.0,broken clouds,-0.9,-89.6,Hotel los Algarrobos
346,Waw,SS,75.02,broken clouds,7.7,28.0,Universal Gab Hotel
