City_ID,City,Country,Lat,Lng,Max Temp (F),% Humidity,% Cloudiness,Wind Speed (mph),Current Description,Rain (inches),Snow (inches)
67,Vredendal,ZA,-31.67,18.5,52.63,81,0,4.76,clear sky,0.0,0.0
68,Ushuaia,AR,-54.8,-68.3,37.4,74,75,16.11,broken clouds,0.0,0.0
69,Telimele,GN,10.92,-13.33,75.61,92,89,2.73,overcast clouds,0.0,0.0
70,Kruisfontein,ZA,-34.0,24.73,53.1,77,58,12.5,broken clouds,0.0,0.0
71,Torbay,CA,47.67,-52.73,70.0,87,90,8.05,overcast clouds,0.0,0.0
72,Lenger,KZ,42.18,69.88,60.8,36,0,8.95,clear sky,0.0,0.0
73,Usolye,RU,59.43,56.68,45.0,98,100,6.4,overcast clouds,0.0,0.0
74,Kavieng,PG,-2.57,150.8,82.58,79,51,12.62,light rain,0.43,0.0
75,Scottsbluff,US,41.87,-103.67,93.2,18,1,6.93,clear sky,0.0,0.0
76,Albany,US,42.6,-73.97,73.0,91,100,7.4,moderate rain,1.52,0.0
77,Rabo De Peixe,PT,37.8,-25.58,71.6,78,40,5.82,scattered clouds,0.0,0.0
78,Lata,PT,40.16,-8.33,73.0,78,0,5.01,clear sky,0.0,0.0
79,Jibuti,DJ,11.5,42.5,96.8,37,1,3.6,clear sky,0.0,0.0
80,Cape Town,ZA,-33.93,18.42,57.2,76,75,8.05,broken clouds,0.0,0.0
81,Nalut,LY,30.33,10.85,91.02,18,41,12.39,scattered clouds,0.0,0.0
82,Tucurui,BR,-3.77,-49.67,85.87,62,9,3.8,clear sky,0.0,0.0
83,Shurugwi,ZW,-19.67,30.01,52.77,40,0,1.43,clear sky,0.0,0.0
84,Ostrovnoy,RU,68.05,39.51,43.14,83,100,7.85,overcast clouds,0.0,0.0
85,Ust-Kan,RU,50.93,84.76,44.56,69,100,2.06,overcast clouds,0.0,0.0
86,Vaini,TO,-21.2,-175.2,75.2,94,75,6.93,broken clouds,0.0,0.0
87,Hithadhoo,MV,-0.6,73.08,85.21,70,40,7.85,scattered clouds,0.0,0.0
88,Lompoc,US,34.64,-120.46,60.8,82,100,9.17,overcast clouds,0.0,0.0
89,Puerto Ayora,EC,-0.74,-90.35,84.2,51,40,5.82,scattered clouds,0.0,0.0
90,Victoria,HK,22.29,114.16,84.0,74,88,5.99,overcast clouds,0.0,0.0
91,East London,ZA,-33.02,27.91,61.95,53,0,21.74,clear sky,0.0,0.0
92,Canete,CL,-37.8,-73.4,53.56,88,83,6.24,light rain,0.81,0.0
93,Saint-Pierre,RE,-21.34,55.48,68.0,77,22,6.93,few clouds,0.0,0.0
94,Anadyr,RU,64.75,177.48,37.4,93,75,10.2,light rain,0.0,0.0
95,Zima,RU,53.92,102.04,61.12,91,61,6.6,broken clouds,0.0,0.0
96,Narsaq,GL,60.92,-46.05,57.2,47,89,6.93,overcast clouds,0.0,0.0
97,Sisimiut,GL,66.94,-53.67,43.39,77,25,9.84,scattered clouds,0.0,0.0
98,Bose,IT,45.46,8.01,77.0,74,31,2.35,scattered clouds,0.0,0.0
99,San Miguel,SV,13.48,-88.18,89.6,62,40,4.61,scattered clouds,0.0,0.0
100,Ubinskoye,RU,55.31,79.68,52.3,73,68,16.89,broken clouds,0.0,0.0
101,Airai,TL,-8.93,125.41,56.84,100,100,3.36,overcast clouds,0.0,0.0
102,La Orilla,MX,17.98,-102.23,87.89,53,0,8.5,clear sky,0.0,0.0
103,Dubti,ET,11.74,41.09,93.4,19,3,8.25,clear sky,0.0,0.0
104,Durusu,TR,41.31,28.68,75.0,88,40,9.17,scattered clouds,0.0,0.0
105,Dagda,LV,56.1,27.54,66.6,81,0,4.25,clear sky,0.0,0.0
106,Skjervoy,NO,70.03,20.97,48.2,81,40,10.29,scattered clouds,0.0,0.0
107,Abha,SA,18.22,42.51,80.6,19,100,5.82,overcast clouds,0.0,0.0
108,Beringovskiy,RU,63.05,179.32,41.29,68,66,12.48,broken clouds,0.0,0.0
109,Qinzhou,CN,21.95,108.62,81.3,83,100,6.13,overcast clouds,0.0,0.0
110,Nanortalik,GL,60.14,-45.24,42.66,81,88,11.45,overcast clouds,0.0,0.0
111,Nyrob,RU,60.73,56.72,44.76,89,100,9.42,light rain,0.12,0.0
112,Wyoming,US,43.0,-107.5,73.99,50,100,5.01,overcast clouds,0.0,0.0
113,Pevek,RU,69.7,170.31,31.77,99,100,15.9,light snow,0.0,0.43
114,Vardo,NO,70.37,31.11,42.8,81,20,14.99,few clouds,0.0,0.0
115,Tokur,RU,53.13,132.9,49.91,87,31,2.17,scattered clouds,0.0,0.0
116,La Ronge,CA,55.1,-105.28,69.8,68,90,5.82,overcast clouds,0.0,0.0
117,Bengkulu,ID,-3.8,102.27,76.51,87,70,4.56,broken clouds,0.0,0.0
118,Qaanaaq,GL,77.48,-69.36,43.74,64,0,2.48,clear sky,0.0,0.0
119,Chanute,US,37.68,-95.46,87.8,62,75,24.16,broken clouds,0.0,0.0
120,Chapais,CA,49.78,-74.85,71.6,60,40,4.7,scattered clouds,0.0,0.0
121,Ilulissat,GL,69.22,-51.1,41.0,86,90,5.82,mist,0.0,0.0
122,Sao Filipe,CV,14.9,-24.5,76.46,73,1,16.55,clear sky,0.0,0.0
123,Nantucket,US,41.28,-70.1,71.6,83,20,9.17,few clouds,0.0,0.0
124,Chokurdakh,RU,70.63,147.92,56.57,44,100,8.52,overcast clouds,0.0,0.0
125,Sokoni,TZ,-6.43,39.55,78.8,83,20,6.93,few clouds,0.0,0.0
126,Te Anau,NZ,-45.42,167.72,40.62,84,100,0.81,overcast clouds,0.0,0.0
127,Talnakh,RU,69.49,88.4,69.8,56,58,15.66,broken clouds,0.0,0.0
128,Pisco,PE,-13.7,-76.22,64.4,82,75,8.05,mist,0.0,0.0
129,Pemangkat,ID,1.17,108.97,76.05,90,91,6.8,overcast clouds,0.0,0.0
130,Port Elizabeth,ZA,-33.92,25.57,59.0,67,31,16.11,scattered clouds,0.0,0.0
131,Pangnirtung,CA,66.15,-65.71,42.8,81,40,13.87,scattered clouds,0.0,0.0
132,Lagoa,PT,39.05,-27.98,68.02,93,0,8.52,clear sky,0.0,0.0
133,Marsh Harbour,BS,26.54,-77.06,83.57,66,93,7.31,overcast clouds,0.0,0.0
134,Qaqortoq,GL,60.72,-46.03,57.2,47,97,6.93,overcast clouds,0.0,0.0
135,Manggar,ID,-2.88,108.27,81.05,81,33,11.79,scattered clouds,0.0,0.0
136,Kieta,PG,-6.22,155.63,79.61,77,11,2.15,few clouds,0.0,0.0
137,Shorapur,IN,16.52,76.75,79.93,78,100,8.39,moderate rain,1.35,0.0
138,Mana,GF,5.66,-53.78,82.06,78,49,6.82,light rain,0.53,0.0
139,Arraial Do Cabo,BR,-22.97,-42.03,68.0,88,40,4.7,scattered clouds,0.0,0.0
140,Betafo,MG,-19.83,46.85,55.62,60,0,1.97,clear sky,0.0,0.0
141,Manta,EC,-0.95,-80.73,78.8,74,90,6.93,overcast clouds,0.0,0.0
142,Santana Do Livramento,BR,-30.89,-55.53,53.11,75,100,6.42,overcast clouds,0.0,0.0
143,Raton,US,36.9,-104.44,91.4,11,1,16.11,clear sky,0.0,0.0
144,Ketchikan,US,55.34,-131.65,64.4,63,1,12.75,clear sky,0.0,0.0
145,Pascagoula,US,30.37,-88.56,91.4,59,40,6.93,scattered clouds,0.0,0.0
146,Yeppoon,AU,-23.13,150.73,53.6,87,90,3.36,overcast clouds,0.0,0.0
147,Tiksi,RU,71.69,128.87,40.12,71,80,2.77,broken clouds,0.0,0.0
148,Marsabit,KE,2.33,37.99,68.2,74,0,22.7,clear sky,0.0,0.0
149,Sladkovo,RU,55.53,70.34,49.89,94,0,10.4,clear sky,0.0,0.0
150,Tuktoyaktuk,CA,69.45,-133.04,42.8,87,40,5.82,scattered clouds,0.0,0.0
151,Ambon,ID,-3.7,128.18,79.0,14,98,7.83,overcast clouds,0.0,0.0
152,Afua,BR,-0.16,-50.39,82.74,82,91,2.86,light rain,0.49,0.0
153,Maniitsoq,GL,65.42,-52.9,42.87,86,4,12.12,clear sky,0.0,0.0
154,Samarai,PG,-10.62,150.67,78.15,85,89,16.84,moderate rain,1.35,0.0
155,Saldanha,ZA,-33.01,17.94,57.2,82,36,3.36,scattered clouds,0.0,0.0
156,Upernavik,GL,72.79,-56.15,41.13,72,0,10.51,clear sky,0.0,0.0
157,Pa Sang,TH,18.53,98.94,80.6,83,40,1.12,scattered clouds,0.0,0.0
158,Castro,BR,-24.79,-50.01,55.62,81,99,4.72,overcast clouds,0.0,0.0
159,Hami,CN,42.8,93.45,80.94,20,0,21.77,clear sky,0.0,0.0
160,Tazovskiy,RU,67.47,78.7,51.93,98,100,7.61,light rain,0.21,0.0
161,Keti Bandar,PK,24.14,67.45,86.94,75,72,22.26,broken clouds,0.0,0.0
162,Ribeira Grande,PT,38.52,-28.7,71.6,88,75,13.87,broken clouds,0.0,0.0
